2,20.7.23,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,📊,Optima,change optima,Comments
,,leg curls,4,"5,5,5,5","15,15,15,15",,600,7,,,,
,,calves ,4,"40,40,40,40","25,25,25,25",,4000,73,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,586.5,359,,12495,238,,,,
31,9.9.23,W8T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"15,17.5,20,22.5","20,15,15,12",,2265,28,,,,
,back,lat pull down,4,"45,50,55,60","17,16,13,10",,2880,76,,,,
,shoulders,side laterals,4,"5,7.5,10,10","20,15,10,12",,865,12,,,,
,triceps,rope pushdown,4,"30,30,35,35","30,20,15,15",,2550,54,,,,
,biceps,preachers curls,4,"7.5,10,12.5,12.5","15,13,8,8",,885,14,,,,
,Total,,20,490,299,,9445,184,,,,
32,12.9.23,W9T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,100","20,15,13,13",,4600,118,,,,
,,leg extension,4,"10,10,10,10","20,20,20,20",,1600,17,,,,
,,leg curls,4,"5,5,5,5","10,10,10,10",,400,7,,,,
,,calves ,4,"40,40,40,40","20,20,20,25",,3400,68,,,,
,,cc abs,4,"1,1,1,1","10,10,10,10",,40,1,,,,
,Total,,20,544,306,,10040,211,,,,
33,13.9.23,W9T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,3,"12.5,17.5,20","20,15,12",,1505,25,,,,
,back,lat pull down,3,"45,50,50","20,15,15",,2400,75,,,,
,shoulders,side laterals,3,"5,7.5,7.5","20,12,12",,560,10,,,,
,triceps,rope pushdown,3,"30,30,30","20,20,20",,1800,50,,,,
,biceps,barbel curls,3,"15,20,20","20,12,12",,1560,27,,,,
,Total,,15,360,245,,7825,187,,,,
34,14.9.23,W9T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,3,"40,60,80","20,20,15",,3200,95,,,,
,,leg extension,3,"10,10,10","20,20,20",,1200,17,,,,
,,leg curls,3,"5,5,5","12,12,12",,360,7,,,,
,,calves ,3,"40,40,40","25,25,25",,3000,73,,,,
,,cc abs,3,"1,1,1","15,15,15",,45,1,,,,
,Total,,12,345,226,#VALUE!,7760,192,-22.71,,,
35,16.9.23,W9T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inline bench,4,"40,40,40,50","12,12,12,12",,2040,59,-15,,,
,,lat pull down,3,"45,50,50","20,15,15",,2400,75,,,,
,,side laterals,3,"5,7.5,7.5","20,12,12",,280,10,-84.44,,,
,,rope pushdown,3,"30,30,35","20,20,15",,1725,51,10.58,,,
,,barbel curls,3,"15,20,20","20,12,12",,780,,,,,
,Total,,13,430,197,#VALUE!,7225,195,-7.67,,,
36,17.9.23,W10T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"60,80,100,120","20,17,17,17",,6300,142,,,,
,,leg extension,4,"15,17.5,20,22.5","17,15,15,15",,2310,28,,,,
,,leg curls,4,"5,5,5,5","15,15,15,15",,600,7,,,,
,,calves ,4,"40,40,40,40","25,25,25,30",,4200,75,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,619,358,,13470,253,,,,
37,18.9.23,W10T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"17.5,20,22.5,25","18,15,13,11",,2365,31,,,,
,back,lat pull down,4,"50,55,60,60","15,13,10,10",,2665,78,,,,
,shoulders,Dumbels press,4,"12.5,15,17.5,20","20,15,13,9",,1765,24,,,,
,triceps,rope pushdown,4,"30,35,40,40","30,20,13,13",,2640,58,,,,
,biceps,preachers barbell curls,4,"15,20,20,20","15,12,12,12",,945,27,,,,
,Total,,20,595,289,,10380,218,,,,
38,20.9.23,W10T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"60,80,100,140","20,17,18,15",,6460,148,,,,
,,leg extension,4,"15,20,25,25","17,15,15,15",,2610,32,,,,
,,Squads,2,"40,60","12,6",,840,64,,,,
,,leg curls,4,"5,7.5 ,7.5 ,7.5","16,15,15,15",,835,10,,,,
,,calves ,4,"40,40,40,40","25,25,30,30",,4400,76,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,22,756.5,381,,15205,331,,,,
39,21.9.23,W10T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,bench press ,4,"40,50,60,70","15,13,12,8",,5060,76,,,,
,back,Shoulder press,4,"20, 20, 20, 20","10,10,10,12",,840,27,,,,
,back,lat pull down,4,"45,50,55,60","20,17,12,15",,3310,80,,,,
,triceps,rope pushdown,4,"30,35,35,35","30,20,20,20",,3000,59,,,,
,biceps,preachers barbell curls,4,"15,20,25,30","20,15,12,8",,1140,32,,,,
,Total,,20,735,299,,13350,274,,,,
40,25.9.23,W11T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"80,100,140,160","17,18,15,13",,7340,181,,,,
,,leg extension,4,"20,25,30,30","15,15,15,15",,3150,39,,,,
,,leg curls,4,"10,10,10,10","15,15,15,15",,1200,15,,,,
,,calves ,4,"50,50,50,50","25,25,25,25",,5000,91,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,829,343,,16750,327,,,,
41,26.9.23,W11T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,bench press ,4,"40,50,60,70","15,13,12,10",,2670,77,,,,
,shoulders,shoulder dumbels press,4,"12.5,15,17.5,20","20,15,15,12",,1955,24,,,,
,back,lat pull down,4,"45,50,55,60","20,17,15,15",,3475,81,,,,
,triceps,rope pushdown,4,"30,35,40,40","30,25,20,20",,3375,64,,,,
,biceps,preachers barbell curls,4,"15,20,25,25","20,15,12,12",,1200,31,,,,
,Total,,20,725,333,,12675,277,,,,
42,28.9.23,W11T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,4,"20,40,50,60","15,12,10,8",,1760,57,,,,
,,leg extension,4,"20,25,30,30","15,15,15,15",,3150,39,,,,
,,romanian deadlift,3,"20,30,40","15,15,5",,1900,40,,,,
,,calves ,4,"50,50,50,50","30,30,30,30",,6000,100,,,,
,,cc abs,,,,,,,,,,
,Total,,15,#VALUE!,#VALUE!,,12810,236,,,,
43,01.10.23,W12T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"17.5,20,22.5,25","18,15,15,12",,2505,32,,,,
,back,shoulder dumbels press,4,"12.5,15,17.5,20","20,16,15,12",,1985,24,,,,
,,Bend over row ,4,"20,40,50,60","30,20,18,15",,3200,69,,,,
,triceps,Straight bar pushdown,4,"60,65,70,70","20,18,15,15",,4470,103,,,,
,biceps,Machine barbell curls,4,"15,20,22.5,22.5","20,15,12,10",,1095,29,,,,
,Total,,20,665,331,,13255,257,,,,
44,2.10.23,W12T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,5,"80,120,140,160,180","20,17,15,13,10",,9620,199,,,,
,,leg extension,4,"20,25,30,35","20,20,18,15",,3930,44,,,,
,,romanian deadlift,4,"40,40,40,40","12,12,12,12",,1920,56,,,,
,,calves ,4,"50,50,50,50","25,30,30,35",,6000,100,,,,
,,cc abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,21,1154,376,,21530,400,,,,
45,04.10.23,W12T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"17.5,20,22.5,27.5","18,15,15,12",,2565,32,,4 sets,,
,chest,fly machine ,4,"30,35,40,40","20,18,15,15",,2430,,,4 sets,,
,shoulders,shoulder dumbels press,4,"12.5,15,20,20","20,15,12,12",,1910,25,,4 sets,,
,back,lat pull down,4,"45,50,55,60","20,18,15,15",,3525,,,4 sets,,
,back,Seated row ,4,"40,40,45,45","15,15,15,15",,2550,64,,4 sets,,
,triceps,rope pushdown,4,"16.25,18.75,21.25 ,21.25","20,20,20,20",,1550,32,,4 sets,,
,biceps,preachers barbell curls,4,"15,20,25,25","20,15,12,12",,1200,31,,4 sets,,
,Total,,28,842.5,454,,15730,184,,28 sets,,
46,5.10.23,W12T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,4,"20,40,50,60","15,12,10,8",,1760,57,,,,
,,leg press,4,"80,120,160,180","20,17,13,13",,8060,201,,,,
,,leg extension,4,"20,25,30,35","20,20,18,15",,3930,44,,,,
,,leg curls,4,"10,10,10,10","15,15,15,15",,1200,15,,,,
,,calves ,4,"50,60,60,60","30,25,25,25",,6000,107,,,,
,,abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,,low back,,"1,1,1","15,15,15",,45,,,,,
,Total,,20,924,361,,19250,368,,,,
47,08.10.23,W13T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. barbel,4,"40,50,55,60","15,12,12,10",,2460,72,,,,
,chest,bench press,3,"50,60,70","15,12,10",,2170,84,,,,
,shoulders,side laterals,4,"5,7.5,7.5,10","20,15,15,12",,890,11,,,,
,back,lat pull down,4,"45,50,55,60","20,18,15,15",,3525,82,,,,
,triceps,rope pushdown,4,"35,35,40,40","20,20,15,20",,2800,61,,,,
,biceps,Machine barbell curls,4,"15,20,22.5,25","20,15,12,12",,1170,30,,,,
,Total,,23,857.5,350,,13015,340,,,,
48,9.10.23,W13T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,4,"20,40,50,60","15,12,10,10",,1880,58,,,,
,,leg extension,4,"20,25,30,35","20,17,14,18",,3750,43,,,,
,,leg curls,4,"10,10,12.5,12.5","15,15,15,15",,1350,17,,,,
,,calves ,4,"40,50,60,60","30,30,30,30",,6300,104,,,,
,,abs,4,"1,1,1,1","15,12,15,15",,57,1,,,,
,Total,,20,369,306,,11457,165,,,,
49,11.10.23,W13T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,inc. b. dumbels,4,"20,22.5,25,27.5","20,18,15,12",,3020,36,,4 sets,,
,back,Bend over row ,4,"20,40,50,60","30,20,18,15",,3200,69,,,,
,back,lat pull down,4,"45,50,55,60","20,18,18,15",,3690,83,,,,
,shoulders,shoulder dumbels press,4,"12.5,15,20,20","20,15,12,15",,2030,25,,4 sets,,
,triceps,rope pushdown,4,"35,35,40,40","30,20,15,15",,2950,62,,,,
,biceps,preachers barbell curls,4,"15,20,25,25","20,15,12,12",,1200,31,,,,
,Total,,24,777.5,420,,16090,306,,,,
50,12.10.23,W13T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,5,"20,40,50,60,70","15,15,12,10,10",,2800,66,,,,
,,leg extension,4,"20,25,30,35","20,17,18,20",,4130,45,,,,
,,leg curls,4,"10,12.5,15,15","15,15,15,15",,1575,20,,,,
,,calves ,4,"40,50,60,60","30,30,30,30",,6300,104,,,,
,,abs,4,"25,30,35,40","30,25,20,20",,3000,57,,,,
,,abs,4,"1,1,1,1","15,12,15,15",,57,1,,,,
,Total,,25,506.5,407,,15062,227,,,,
51,15.10.23,W14T1,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,inc. b. barbel,4,"40,50,55,60","15,12,12,12",,2580,73,,,,
,chest,machine wide chest,4,"20,40,50,60","20,15,15,12",,2470,63,,,,
,shoulders,machine push up,4,"10,20,30,40","30,20,20,15",,1900,41,,,,
,back,lat pull down,4,"45,50,55,60","20,18,15,15",,3525,82,,,,
,triceps,machine pushdown,4,"10,20,25,30","30,25,20,15",,1750,36,,,,
,biceps,Machine barbell curls,4,"20,25,25,20","18,12,12,12",,1200,32,,,,
,Total,,24,860,410,,13425,327,,,,
52,16.10.23,W14T2,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,leg press,4,"40,80,120,160","25,20,17,15",,7040,158,,,,
